cost_price,current_price,price_to_cost_ratio,target_margin,competitor_median_price,competitor_gap_pct,inventory_coverage_days,available_quantity,ema_daily_sales,demand_velocity_ratio,organic_sales_ratio,rolling_avg_sales_7d,day_of_week,month_of_year,is_festival_period,seasonal_multiplier,is_promotional_event_active,category_encoded,tier_encoded,target_price
2861.4,3874.65,1.3541,0.1644,4381.04,13.0694,63.99,254,3.969,0.9753,0.9702,3.717,0,12,1,1.1196,0,3,2,4063.42
2443.75,3019.71,1.2357,0.2119,2691.82,-10.8584,8.61,396,45.98,0.648,0.7339,58.839,1,1,1,1.0563,1,7,1,2810.32
1810.53,2482.56,1.3712,0.2716,2676.57,7.8147,46.44,437,9.409,0.3852,0.849,7.088,4,7,0,0.9751,0,0,2,2253.56
3253.34,4230.92,1.3005,0.2334,3808.63,-9.9812,16.08,141,8.769,0.4718,0.8162,9.307,0,6,0,0.9592,0,7,1,3809.26
1127.72,1324.22,1.1742,0.1871,1171.88,-11.5041,3.15,133,42.192,0.3609,0.7961,31.829,2,8,0,1.0058,1,0,1,1327.35
1814.65,3489.41,1.9229,0.2906,3142.08,-9.9538,3.28,143,43.595,0.8606,0.8371,34.623,6,2,0,0.9745,0,0,1,2998.67
2148.63,2485.94,1.157,0.2438,2454.42,-1.2681,53.28,296,5.556,1.2622,0.9529,5.905,5,1,1,1.0865,0,6,2,2846.43
2552.31,4532.07,1.7757,0.286,3890.83,-14.1488,9.55,435,45.527,1.0334,0.9505,43.997,2,9,0,0.9928,0,0,2,3853.96
4033.29,5159.89,1.2793,0.2055,4347.96,-15.7355,25.5,367,14.392,2.0301,0.8945,14.81,2,9,0,0.9781,1,8,1,4655.27
1398.53,2692.73,1.9254,0.1518,2969.26,10.2696,10.86,340,31.312,1.0935,0.5438,38.449,2,10,1,1.1194,1,7,2,2318.32
2814.05,5371.68,1.9089,0.1106,4347.41,-19.0679,55.95,244,4.361,0.4396,0.8788,5.191,3,7,0,1.0188,0,0,0,4391.16
3165.87,5400.38,1.7058,0.2452,5153.01,-4.5806,12.87,253,19.652,0.9339,0.7271,24.227,4,1,1,1.0534,0,1,0,4505.3
709.03,1220.52,1.7214,0.1243,1169.76,-4.1586,15.72,363,23.086,0.9482,0.6494,24.696,2,2,0,0.9625,0,1,0,1035.94
3233.95,3733.72,1.1545,0.1606,4320.72,15.7217,13.13,399,30.392,1.2837,0.8076,30.203,2,9,0,0.9695,0,1,0,4011.38
1267.36,2518.42,1.9871,0.2065,2794.93,10.9796,0.15,4,26.738,1.5277,0.756,26.084,4,5,0,0.9972,0,5,2,2103.66
792.73,1503.15,1.8962,0.2129,1509.56,0.4271,17.24,407,23.613,1.2662,0.6923,27.011,1,2,0,0.9558,0,3,1,1265.73
4769.98,9114.68,1.9108,0.2201,9041.08,-0.8075,8.87,426,48.022,0.784,0.86,48.636,3,5,0,0.9972,0,7,2,7870.21
4845.34,8287.27,1.7104,0.1333,8504.73,2.6241,44.51,448,10.066,1.994,0.8576,7.685,3,1,1,1.0595,0,0,0,7034.36
4137.79,5971.11,1.4431,0.1759,5631.54,-5.6869,30.31,265,8.742,1.5195,0.8326,6.864,6,10,1,1.0467,1,9,2,5272.97
1870.76,3572.41,1.9096,0.2234,3859.31,8.0311,13.63,490,35.958,0.2738,0.7106,32.874,6,12,1,1.0601,1,3,2,3039.68
939.52,1313.26,1.3978,0.294,1411.0,7.4428,51.15,238,4.653,1.4646,0.8399,3.446,0,5,0,0.9661,0,9,0,1152.35
3579.05,5827.78,1.6283,0.2455,6001.81,2.9862,10.1,249,24.662,0.6423,0.9039,20.803,3,7,0,0.9591,0,4,1,5045.97
2480.69,3063.08,1.2348,0.2845,2521.15,-17.6923,17.88,442,24.719,0.4159,0.7539,27.038,6,8,0,1.0159,0,8,2,2858.96
1049.17,2028.74,1.9337,0.2524,1725.92,-14.9265,17.91,290,16.191,1.1342,0.9414,11.455,6,11,1,1.077,0,4,2,1710.11
2728.3,3463.99,1.2697,0.2183,2825.62,-18.4289,0.64,30,46.592,3.1954,0.9662,49.502,0,3,1,1.0694,0,2,0,3932.65
654.75,878.12,1.3412,0.1384,954.88,8.7406,8.02,119,14.845,0.9738,0.7913,17.27,1,4,0,0.9928,1,3,1,752.96
4591.94,7459.21,1.6244,0.2333,7392.38,-0.896,5.15,78,15.134,0.8654,0.9348,12.139,4,12,1,1.0752,0,9,0,6959.54
1664.51,2995.25,1.7995,0.2247,3540.36,18.1992,31.57,394,12.481,1.0495,0.7838,10.092,2,11,1,1.0602,0,6,0,2579.41
3481.35,5836.3,1.6764,0.2205,6892.28,18.0931,0.98,8,8.144,3.3043,0.9832,5.842,5,2,0,0.9689,0,0,2,6196.42
1902.7,2563.53,1.3473,0.198,2869.28,11.9268,23.84,449,18.837,0.8746,0.8648,18.977,0,1,1,1.0291,0,5,1,2422.21
2840.31,3268.63,1.1508,0.2057,3194.17,-2.278,1.25,43,34.363,1.6351,0.4783,37.551,6,10,1,1.1123,0,7,0,3659.65
2960.2,5309.34,1.7936,0.1669,4919.32,-7.346,9.93,371,37.366,0.8195,0.5354,36.4,6,8,0,1.0126,0,0,2,4657.98
1331.85,2646.94,1.9874,0.2039,2330.34,-11.961,5.41,221,40.858,0.748,0.9213,38.147,5,7,0,0.9914,0,7,0,2199.05
4863.13,8940.51,1.8384,0.1395,7983.85,-10.7002,13.39,143,10.68,2.0261,0.9103,10.388,5,11,1,1.0782,0,6,2,7593.78
3988.1,6146.36,1.5412,0.261,7351.83,19.6127,43.34,119,2.746,0.5762,0.7639,3.21,3,8,0,1.0176,1,0,1,5156.31
4727.75,9068.77,1.9182,0.1372,9178.86,1.214,8.84,431,48.76,1.4525,0.4619,35.112,6,5,0,0.9642,0,8,0,8011.97
4526.72,6782.71,1.4984,0.117,5459.41,-19.5099,30.55,52,1.702,0.8429,0.762,1.992,5,5,0,0.9512,0,2,1,5634.42
3190.55,5092.74,1.5962,0.1872,4164.42,-18.2283,1.33,64,48.073,0.6848,0.7757,52.871,2,1,1,1.0613,0,1,1,4559.36
4648.43,7230.92,1.5556,0.2317,7111.66,-1.6494,4.21,175,41.612,0.8114,0.6511,35.156,1,9,0,0.9541,0,6,2,6583.02
898.22,1374.7,1.5305,0.1875,1343.62,-2.2607,1.51,69,45.692,0.3244,0.7411,46.37,4,11,1,1.0348,0,2,0,1203.51
1381.92,2499.78,1.8089,0.1554,2405.34,-3.7777,15.07,301,19.972,0.5915,0.9548,14.571,0,3,1,1.1017,0,0,0,2103.11
703.52,1124.06,1.5978,0.2116,1269.56,12.9441,11.25,120,10.663,1.0693,0.9049,9.893,3,1,1,1.0643,0,9,2,1166.98
1963.99,2787.31,1.4192,0.1694,3013.81,8.1262,12.24,376,30.717,0.8836,0.6823,24.709,5,4,0,0.9938,1,2,2,2349.87
2249.05,3079.92,1.3694,0.2866,2596.27,-15.7033,5.41,202,37.321,0.6232,0.8668,26.624,5,12,1,1.0695,0,5,1,3163.81
1721.07,2034.45,1.1821,0.2845,1922.7,-5.4928,38.85,288,7.412,2.0977,0.9578,6.777,2,4,0,0.9815,1,2,0,1979.23
4229.32,6960.26,1.6457,0.2005,7229.42,3.8672,4.47,179,40.083,0.6085,0.9113,45.521,2,8,0,0.9793,0,4,0,5930.93
2105.39,2832.73,1.3455,0.1656,2699.58,-4.7004,7.13,80,11.221,2.0515,0.5849,14.056,2,10,1,1.0627,0,8,2,3170.69
1764.21,2250.97,1.2759,0.2474,1988.34,-11.6678,2.15,54,25.092,1.0762,0.873,27.535,4,10,1,1.0659,0,6,2,2582.69
2942.13,5018.56,1.7058,0.1073,5275.61,5.1221,4.14,178,42.968,0.8766,0.9232,40.44,0,5,0,1.0069,0,1,2,4229.5
1134.16,1960.99,1.729,0.195,2041.2,4.09,9.26,97,10.478,1.0479,0.8312,13.618,4,10,1,1.0423,0,0,0,1646.48
4109.89,7353.95,1.7893,0.1673,8750.05,18.9844,8.48,109,12.852,1.1582,0.5561,11.179,5,12,1,1.0226,1,6,0,6404.26
835.48,1318.42,1.578,0.2841,1350.62,2.4428,103.78,423,4.076,0.6201,0.6831,3.311,3,5,0,0.9955,0,3,1,1092.89
4940.99,9437.03,1.9099,0.1024,10849.93,14.9719,18.57,152,8.184,0.6286,0.7031,8.006,0,1,1,1.0355,1,6,2,8059.52
3975.1,7735.12,1.9459,0.2106,9124.95,17.9678,54.52,446,8.18,0.9047,0.7178,8.204,1,11,1,1.0544,0,5,1,6780.56
1394.22,2560.16,1.8363,0.2481,2493.37,-2.6086,36.93,405,10.968,1.2442,0.5885,10.013,1,4,0,0.9751,0,6,0,2141.01
524.85,887.13,1.6903,0.197,728.47,-17.8843,31.48,473,15.024,1.3935,0.6402,16.786,5,8,0,0.9762,0,3,1,790.19
4169.58,5871.44,1.4082,0.1171,5034.16,-14.2602,3.03,124,40.934,1.864,0.4609,33.17,4,8,0,0.987,0,2,1,5058.02
3680.86,7308.36,1.9855,0.2945,7319.96,0.1588,1.96,90,45.872,0.541,0.7374,46.157,4,4,0,1.0085,0,4,1,6003.83
3780.53,5228.54,1.383,0.2036,6050.37,15.7183,14.01,293,20.908,1.1953,0.5615,20.909,5,3,1,1.0564,0,2,2,5753.34
3970.72,5250.31,1.3223,0.2228,5574.01,6.1653,53.83,392,7.282,0.9935,0.621,8.697,4,4,0,0.9644,0,2,0,4566.32
833.2,1271.32,1.5258,0.1473,1119.52,-11.9407,3.01,36,11.967,0.7661,0.7954,15.032,1,6,0,0.9999,0,3,2,1065.85
2113.1,2532.15,1.1983,0.1967,2735.78,8.0418,0.11,4,37.074,2.7233,0.5,40.706,1,3,1,1.0663,0,7,1,2815.34
1021.41,2024.15,1.9817,0.1858,2343.33,15.7688,9.86,337,34.194,1.2412,0.9742,30.201,0,11,1,1.1065,0,1,2,1879.13
4383.97,7234.28,1.6502,0.115,5874.89,-18.791,3.08,149,48.393,2.0431,0.7937,53.899,5,12,1,1.0253,0,3,0,5896.26
3304.84,5365.11,1.6234,0.1212,4813.17,-10.2875,213.46,365,1.71,0.186,0.9055,1.455,0,3,1,1.0364,0,2,0,4605.66
1989.04,3396.14,1.7074,0.2675,2925.0,-13.8728,10.45,395,37.787,1.688,0.8716,48.365,4,9,0,1.0109,0,6,1,2837.67
786.01,1235.98,1.5725,0.148,1376.44,11.3641,12.22,315,25.784,1.3074,0.718,30.771,5,3,1,1.1088,0,1,1,1205.56
1899.42,2236.1,1.1773,0.139,2586.25,15.6591,3.78,171,45.232,1.4204,0.8833,43.365,2,1,1,1.0554,0,0,2,2596.34
1963.32,3279.66,1.6705,0.201,3351.24,2.1823,13.85,405,29.232,0.8637,0.95,34.219,0,11,1,1.0387,0,9,0,2781.14
3783.23,6653.74,1.7587,0.2537,7580.48,13.9281,11.4,261,22.887,2.873,0.9067,21.632,1,3,1,1.1001,0,0,0,6188.89
3369.01,5067.79,1.5042,0.1124,5385.92,6.2775,14.36,483,33.627,0.9063,0.7548,25.044,6,11,1,1.0502,0,5,2,4621.48
4492.46,8058.13,1.7937,0.2154,8563.21,6.268,0.62,26,41.843,0.9907,0.8491,47.034,3,8,0,0.999,0,2,0,6989.9
2624.97,3525.2,1.343,0.1238,3637.6,3.1883,33.28,494,14.842,0.6131,0.85,13.993,6,9,0,0.9693,1,6,1,3018.71
1038.17,1389.17,1.3381,0.1073,1139.13,-17.9993,8.61,54,6.269,0.9805,0.728,7.887,2,4,0,1.0089,0,7,1,1206.15
3709.6,4775.02,1.2872,0.1105,5609.65,17.4791,17.91,398,22.218,0.9164,0.3889,19.639,5,6,0,0.9835,0,4,2,4573.16
3923.53,5752.67,1.4662,0.2668,5420.79,-5.7691,27.71,319,11.511,1.7092,0.9433,13.883,1,10,1,1.1189,0,4,2,5774.74
3025.75,5658.03,1.87,0.1236,6342.82,12.1031,11.25,248,22.048,1.3735,0.9109,24.434,2,8,0,0.9892,0,1,2,4900.79
3969.35,7358.09,1.8537,0.109,8270.45,12.3994,5.49,272,49.561,1.798,0.8776,60.068,3,7,0,0.9704,0,7,1,6224.8
2722.08,4016.16,1.4754,0.1876,4764.39,18.6304,8.86,258,29.132,0.9475,0.8965,25.494,5,8,0,1.0127,0,9,2,3898.46
2852.3,4708.43,1.6508,0.2688,4382.04,-6.932,7.57,265,34.986,0.8439,0.8323,34.175,4,11,1,1.0358,0,0,0,3926.6
2423.93,4272.65,1.7627,0.1525,5122.74,19.896,5.55,190,34.218,1.5559,0.8181,40.853,2,11,1,1.0702,0,9,2,4081.34
614.39,832.51,1.355,0.1843,766.1,-7.977,1.5,62,41.214,1.0822,0.7449,44.771,3,3,1,1.114,0,8,0,977.95
985.51,1274.19,1.2929,0.108,1249.4,-1.9452,7.28,344,47.262,0.3072,0.64,43.29,6,4,0,0.9672,0,0,1,1133.34
641.43,1267.65,1.9763,0.1898,1372.23,8.25,13.37,445,33.282,0.7975,0.9251,33.522,3,1,1,1.0858,0,0,0,1034.29
3363.85,5634.19,1.6749,0.2155,4856.64,-13.8005,13.98,340,24.329,0.3352,0.8424,31.57,2,4,0,0.9916,0,0,0,4714.08
1914.6,3798.96,1.9842,0.2142,3443.94,-9.3451,6.21,103,16.574,0.6651,0.3746,18.979,6,5,0,0.9782,0,6,0,3302.88
2788.57,4007.43,1.4371,0.1665,4373.09,9.1245,21.01,392,18.653,1.6703,0.8137,19.935,5,2,0,0.9505,0,3,1,3344.8
4584.05,8010.98,1.7476,0.1631,9531.09,18.9754,23.4,407,17.39,0.8452,0.9319,20.811,2,1,1,1.0658,0,6,0,6708.46
1621.82,2171.96,1.3392,0.1213,2374.21,9.312,16.98,287,16.899,0.8739,0.6949,16.311,6,5,0,1.0098,0,4,0,1865.09
2346.72,3219.75,1.372,0.1734,3686.36,14.492,7.36,258,35.037,0.9075,0.9963,44.498,2,8,0,0.9923,0,6,2,3186.57
3899.98,6181.92,1.5851,0.1199,5038.24,-18.5005,5.37,160,29.798,1.0055,0.8125,30.728,2,8,0,0.9718,1,9,2,5274.76
1529.59,2174.58,1.4217,0.2533,2241.58,3.081,15.6,170,10.898,0.8459,0.7427,9.766,4,11,1,1.0725,0,6,2,2139.0
846.41,1093.97,1.2925,0.2933,1275.17,16.5637,2.23,108,48.512,2.4802,0.8073,36.462,6,9,0,0.9961,0,3,0,1230.89
1803.88,2477.54,1.3734,0.294,2658.3,7.2959,6.33,139,21.959,0.4267,0.9751,20.321,1,8,0,0.9783,1,1,0,2150.66
1225.5,1446.56,1.1804,0.273,1548.66,7.0585,3.2,92,28.738,1.1213,0.7388,29.922,0,7,0,0.9848,1,7,1,1578.39
4683.64,8190.56,1.7488,0.2202,7217.65,-11.8784,13.21,468,35.427,1.3206,0.5724,39.748,4,11,1,1.0349,0,1,0,6828.85
4136.54,6487.33,1.5683,0.2402,7424.47,14.4456,3.28,102,31.07,0.6393,0.8543,38.063,2,1,1,1.094,0,8,0,6144.23
3350.32,4121.25,1.2301,0.157,4723.02,14.6018,13.85,225,16.242,1.381,0.8742,20.568,3,10,1,1.0639,0,4,1,4853.46
4421.57,5730.09,1.2959,0.2262,5991.4,4.5603,8.78,352,40.088,0.7161,0.7542,30.526,5,1,1,1.1022,1,8,0,5753.28
4116.52,5092.78,1.2372,0.1911,4943.29,-2.9353,24.85,159,6.398,1.2711,0.7537,6.785,4,12,1,1.0477,0,8,1,5516.13
1339.57,2238.02,1.6707,0.1964,2528.31,12.9709,13.95,403,28.881,0.5321,0.7487,31.768,0,8,0,0.9799,0,7,1,1884.31
4516.52,5555.67,1.2301,0.2516,5477.88,-1.4002,13.48,194,14.393,1.0447,0.7369,11.561,5,5,0,0.9936,0,7,2,6078.13
2927.04,5242.74,1.7911,0.1564,5919.29,12.9046,10.36,323,31.172,3.0493,0.7144,32.025,0,6,0,0.9517,0,3,0,4335.04
4133.48,4825.57,1.1674,0.1636,4796.45,-0.6034,12.33,144,11.682,0.636,0.6657,10.524,6,4,0,1.0006,0,3,2,5234.66
4532.41,6173.0,1.362,0.2849,6370.03,3.1918,6.21,241,38.838,0.8124,0.5142,28.99,4,4,0,0.972,0,1,0,6075.16
1931.02,3682.58,1.9071,0.1112,4047.92,9.9209,38.19,464,12.149,2.2815,0.6277,8.985,3,10,1,1.0924,0,3,2,3074.82
995.23,1752.36,1.7608,0.1971,1587.63,-9.4003,9.01,402,44.629,1.8556,0.7807,51.57,6,9,0,0.993,0,3,1,1475.93
1525.71,1849.19,1.212,0.2826,1661.94,-10.1262,3.03,131,43.216,2.3971,0.7831,46.21,3,8,0,0.9673,0,5,1,2074.62
2421.99,4475.72,1.848,0.2221,4776.21,6.7137,4.9,92,18.757,0.8314,0.8224,21.178,5,11,1,1.0215,1,2,1,3795.04
4181.07,6560.43,1.5691,0.2093,7751.57,18.1565,13.66,272,19.905,1.1894,0.9214,22.118,3,12,1,1.0286,1,1,1,5574.83
4373.29,8177.02,1.8698,0.1499,8000.51,-2.1586,5.4,191,35.374,1.2593,0.9623,27.612,1,4,0,0.9955,0,7,0,6818.66
531.28,882.27,1.6606,0.1687,1022.79,15.9281,3.87,21,5.428,0.6781,0.964,4.293,3,7,0,1.0002,0,1,0,771.76
2798.36,4839.93,1.7296,0.2704,4875.14,0.7275,38.87,193,4.965,0.5719,0.8578,4.228,0,8,0,0.999,0,7,2,4083.56
2378.35,4743.56,1.9945,0.2118,5642.81,18.9572,22.01,169,7.68,0.5377,0.8737,7.215,5,7,0,1.0042,0,6,0,4053.45
1499.49,2020.53,1.3475,0.2029,2256.57,11.6819,16.07,459,28.561,0.7782,0.944,36.087,2,5,0,0.9862,0,2,0,1724.41
1039.39,1746.55,1.6804,0.1199,1997.74,14.3823,51.56,428,8.301,0.5279,0.9842,9.167,2,10,1,1.0398,0,5,2,1457.1
2019.27,3112.24,1.5413,0.1032,3335.83,7.1842,0.68,10,14.603,0.7129,0.9172,12.458,6,1,1,1.1179,0,5,1,3182.89
4743.09,5613.61,1.1835,0.2927,6441.04,14.7397,5.5,180,32.699,0.6048,0.7898,23.987,0,6,0,0.9768,0,9,2,6419.76
1954.41,2271.61,1.1623,0.1754,2355.94,3.7119,130.84,231,1.766,1.2919,0.8593,1.961,3,8,0,1.017,0,4,2,2463.3
2834.56,3547.01,1.2513,0.2206,3642.55,2.6935,45.06,443,9.832,1.2184,0.9359,10.571,2,11,1,1.0679,1,7,1,3431.38
3663.59,6234.43,1.7017,0.1159,7166.38,14.9485,0.6,28,46.567,0.7515,0.9125,51.477,6,6,0,1.002,0,4,2,5482.7
2136.33,3486.69,1.6321,0.2366,2810.36,-19.3974,0.57,19,33.515,0.843,0.4798,28.713,5,8,0,0.9998,1,6,2,3048.1
4873.02,7896.31,1.6204,0.2865,7829.29,-0.8488,0.25,4,15.972,1.3468,0.669,16.135,0,6,0,0.9577,0,5,2,8177.12
4831.01,5686.48,1.1771,0.2151,6528.25,14.803,126.71,408,3.22,0.8374,0.6462,2.953,3,2,0,1.0165,1,6,0,5555.66
1633.02,2529.4,1.5489,0.1252,2221.97,-12.154,1.11,33,29.716,0.7425,0.6865,35.381,1,6,0,0.9705,0,8,1,2117.75
2737.62,5299.84,1.9359,0.2163,6270.79,18.3204,11.66,139,11.92,0.5145,0.777,8.841,6,9,0,0.9601,1,2,1,4478.72
1853.95,2758.59,1.488,0.2533,3024.08,9.6241,0.56,27,48.049,1.9207,0.7115,41.575,2,2,0,0.9513,0,9,2,2932.09
1781.78,2995.5,1.6812,0.1813,3309.94,10.4969,2.8,97,34.661,0.4446,0.7698,36.802,5,3,1,1.0429,1,6,0,2507.71
665.99,1207.34,1.8128,0.276,1287.25,6.619,5.36,261,48.732,0.8541,0.8341,40.113,3,9,0,0.9971,0,9,1,1044.16
3243.04,5890.45,1.8163,0.2297,5766.69,-2.101,5.75,245,42.596,0.6423,0.8147,47.01,5,7,0,0.9774,1,2,1,5035.72
2762.06,4395.5,1.5914,0.2798,4326.86,-1.5617,0.73,18,24.668,1.0754,0.9759,19.292,3,1,1,1.0233,0,1,2,4757.51
731.65,1374.97,1.8793,0.2247,1561.47,13.5643,0.33,11,33.809,0.7996,0.8082,24.129,5,11,1,1.0294,0,6,2,1360.93
1753.91,2600.47,1.4827,0.1263,2225.11,-14.4344,0.59,24,40.793,1.0428,0.6024,49.69,2,4,0,0.9619,0,3,2,2323.62
4587.2,8740.39,1.9054,0.1619,8817.55,0.8827,0.41,12,29.331,0.6568,0.741,26.4,3,4,0,0.9686,0,0,1,7416.29
1578.03,2136.96,1.3542,0.1404,1974.5,-7.6021,115.63,464,4.013,0.7971,0.9817,3.187,5,10,1,1.0897,1,5,2,1814.73
1152.03,1599.23,1.3882,0.2818,1909.04,19.3727,3.12,75,24.052,0.5099,0.6175,19.329,4,5,0,1.0087,0,5,2,1871.99
2702.54,3229.94,1.1952,0.2521,2588.73,-19.8523,34.87,258,7.398,0.604,0.7278,9.111,4,7,0,0.9594,0,5,2,3147.02
4935.43,9013.3,1.8262,0.2353,7440.2,-17.453,0.64,23,36.027,0.7933,0.8006,39.366,1,5,0,0.9766,1,1,0,7568.85
1589.25,2391.02,1.5045,0.1602,2838.03,18.6955,0.2,7,34.351,1.0856,0.8989,43.756,0,10,1,1.0405,0,0,2,2761.35
3524.61,4739.72,1.3447,0.1368,4822.74,1.7517,7.39,367,49.653,0.9292,0.9473,58.591,4,6,0,0.9664,0,2,1,4053.3
3927.29,5290.14,1.347,0.2513,4525.26,-14.4586,7.14,227,31.812,1.9775,0.9565,36.918,4,9,0,1.0119,0,1,2,5428.44
1569.37,3007.21,1.9162,0.1948,2945.43,-2.0544,9.33,375,40.207,0.4692,0.7965,40.202,1,2,0,1.0015,0,5,1,2518.17
3776.97,7020.75,1.8588,0.1452,6522.72,-7.0937,8.62,122,14.146,0.8774,0.8675,16.869,4,6,0,0.952,0,5,0,5884.14
2155.02,3492.22,1.6205,0.2233,4066.63,16.4483,5.04,89,17.661,0.3209,0.9262,16.736,4,6,0,0.9807,0,4,0,2870.74
3345.38,5599.14,1.6737,0.1081,6019.25,7.5032,6.53,300,45.934,0.9203,0.7709,54.946,6,12,1,1.0408,0,9,2,5005.36
3350.88,5204.51,1.5532,0.1652,4435.33,-14.7792,11.97,455,38.004,0.715,0.6718,43.882,5,1,1,1.1043,0,9,1,4303.66
2910.99,4316.75,1.4829,0.1937,4379.68,1.4578,6.74,223,33.108,0.7726,0.8598,36.653,2,6,0,0.9845,0,4,2,3646.71
906.3,1747.49,1.9282,0.1296,1491.98,-14.6216,16.58,223,13.447,0.7111,0.8279,12.073,6,7,0,1.0066,0,8,2,1455.51
4258.86,5352.41,1.2568,0.2969,5706.17,6.6092,7.27,256,35.23,1.2429,0.979,37.993,1,7,0,0.9979,0,4,1,6171.61
1943.51,2926.3,1.5057,0.1418,3192.28,9.0891,0.04,2,44.451,1.1502,0.9175,44.632,3,3,1,1.0949,1,9,1,2855.22
1339.33,1932.49,1.4429,0.1261,1980.54,2.4864,26.0,320,12.309,0.5472,0.8474,12.025,3,8,0,1.0113,0,5,1,1612.46
683.49,1075.42,1.5734,0.1407,1275.86,18.6382,7.58,270,35.6,0.8934,0.8117,46.072,0,7,0,0.9626,0,3,1,895.97
3159.02,4861.69,1.539,0.2538,5725.77,17.7734,15.03,305,20.291,0.4675,0.9065,20.345,6,4,0,0.9908,0,9,1,4240.91
3549.04,5646.72,1.5911,0.1851,4982.48,-11.7634,21.56,147,6.82,0.4258,0.9212,4.905,0,4,0,0.9611,0,0,0,4890.3
574.65,729.19,1.2689,0.2131,583.44,-19.9868,10.05,386,38.41,1.2218,0.9893,41.324,4,10,1,1.1028,0,3,0,762.4
2804.42,4448.29,1.5862,0.1042,4737.87,6.51,20.46,188,9.19,0.5663,0.9308,10.447,4,7,0,0.9659,0,1,0,3803.17
1519.23,2060.16,1.3561,0.1069,2040.09,-0.9743,29.72,398,13.392,0.7357,0.7905,16.487,3,2,0,0.9747,0,9,1,1784.75
3403.28,4447.0,1.3067,0.1892,4152.89,-6.6137,4.73,186,39.364,1.1159,0.8306,42.498,1,5,0,1.0052,0,2,1,4281.59
1284.65,1548.14,1.2051,0.2633,1806.3,16.6756,11.7,437,37.365,0.9912,0.8783,26.591,6,6,0,0.9722,0,6,1,1728.59
3609.22,6490.3,1.7983,0.277,7732.56,19.1403,13.9,187,13.455,2.0176,0.3394,10.385,2,4,0,1.0022,0,6,2,6033.58
2240.31,3390.32,1.5133,0.1173,3974.23,17.2231,2.61,123,47.107,0.5334,0.8882,37.532,5,1,1,1.0789,1,0,0,3022.85
4715.28,7934.16,1.6826,0.2077,7934.78,0.0078,3.12,36,11.549,1.84,0.8725,9.548,0,11,1,1.0924,0,7,0,7189.39
1118.84,1978.62,1.7685,0.2826,2139.57,8.1343,2.98,148,49.687,1.3354,0.7879,58.625,4,11,1,1.0937,0,6,2,2217.51
2034.8,3514.95,1.7274,0.1776,3053.19,-13.1371,2.83,105,37.157,1.4623,0.8433,32.916,0,1,1,1.0403,0,0,2,3368.46
